threshold,precision,recall,f2
0.1,0.949936628643853,0.9993333333333333,0.9890472420163632
0.15,0.9511111111111111,0.9986666666666667,0.9887788778877887
0.2,0.955966815571155,0.9986666666666667,0.9898242368177613
0.25,0.9589480436177037,0.9966666666666667,0.9888874189707634
0.3,0.9613899613899614,0.996,0.988880063542494
0.35,0.9632258064516129,0.9953333333333333,0.9887417218543046
0.4,0.9656957928802589,0.9946666666666667,0.9887342611000662
0.45,0.9669046073977936,0.9933333333333333,0.9879326349290545
0.5,0.9669046073977936,0.9933333333333333,0.9879326349290545
0.55,0.96816114359974,0.9933333333333333,0.9881947207852501
0.6,0.96816114359974,0.9933333333333333,0.9881947207852501
0.65,0.9712981082844097,0.9926666666666667,0.9883180671711138
0.7,0.9737876802096985,0.9906666666666667,0.9872442200372044
0.75,0.9743758212877792,0.9886666666666667,0.9857750598245147
0.8,0.976882430647292,0.986,0.9841628959276018
0.85,0.980718085106383,0.9833333333333333,0.9828091684434968
0.9,0.9826086956521739,0.9793333333333333,0.9799866577718479
