epoch,accuracy,loss,pr_auc,precision,recall,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,learning_rate
1,0.9719430804252625,0.0819537490606308,0.9531244039535522,0.7506418228149414,0.9781445264816284,0.9684867262840271,0.10211597383022308,0.9724398851394653,0.760284423828125,0.9980000257492065,0.0010000000474974513
2,0.9904010891914368,0.029943004250526428,0.9825654625892639,0.8988695740699768,0.9930865168571472,0.9942280650138855,0.01685168407857418,0.995215892791748,0.9520153403282166,0.9919999837875366,0.0010000000474974513
3,0.9928188920021057,0.02291191928088665,0.985409140586853,0.921933114528656,0.9955397248268127,0.9946925044059753,0.015780899673700333,0.9934431910514832,0.9516539573669434,0.9973333477973938,0.0010000000474974513
4,0.9933421015739441,0.020933793857693672,0.9876788258552551,0.9274880290031433,0.9955397248268127,0.9941617250442505,0.016908809542655945,0.9955384731292725,0.9531450867652893,0.9900000095367432,0.0010000000474974513
5,0.9953088164329529,0.014752242714166641,0.9898970723152161,0.9470787644386292,0.997769832611084,0.9952895641326904,0.014449730515480042,0.9943571090698242,0.9588953256607056,0.9953333139419556,0.0010000000474974513
6,0.9948577284812927,0.01590586081147194,0.990151584148407,0.9432129859924316,0.9964317679405212,0.9944271445274353,0.017936287447810173,0.9923849701881409,0.955012857913971,0.9906666874885559,0.0010000000474974513
7,0.9954351186752319,0.014187254011631012,0.9896466135978699,0.9486744403839111,0.9975468516349792,0.9950905442237854,0.01788306050002575,0.9877402782440186,0.958226203918457,0.9940000176429749,0.0010000000474974513
8,0.995543360710144,0.013213053345680237,0.9898558855056763,0.9496921896934509,0.997769832611084,0.9959530234336853,0.012543156743049622,0.9944810271263123,0.9669045805931091,0.9933333396911621,0.0010000000474974513
9,0.9959583282470703,0.011479819193482399,0.9902607202529907,0.9539641737937927,0.9982158541679382,0.9942944049835205,0.01859656721353531,0.9899111390113831,0.9614882469177246,0.9819999933242798,0.0010000000474974513
10,0.9962831139564514,0.009991019032895565,0.9920492172241211,0.9568560719490051,0.9991079568862915,0.9955549836158752,0.016687767580151558,0.9915791749954224,0.9673842191696167,0.9886666536331177,0.0010000000474974513
11,0.9966259598731995,0.010695225559175014,0.9913183450698853,0.9613485336303711,0.9984388947486877,0.9945598244667053,0.02086864784359932,0.989352285861969,0.9586028456687927,0.9879999756813049,0.0010000000474974513
12,0.9971491694450378,0.007937435992062092,0.994493305683136,0.9667673707008362,0.9991079568862915,0.9932993054389954,0.027483798563480377,0.985795259475708,0.9533376693725586,0.9806666374206543,0.0010000000474974513
13,0.9974559545516968,0.007469935342669487,0.9938639402389526,0.9703270792961121,0.9991079568862915,0.9959530234336853,0.017027225345373154,0.9900684356689453,0.9736669063568115,0.9860000014305115,0.0005000000237487257
14,0.9981054663658142,0.0055368803441524506,0.9955156445503235,0.9777438640594482,0.9993309378623962,0.9962847232818604,0.0164706502109766,0.9907110929489136,0.9762532711029053,0.9866666793823242,0.0005000000237487257
15,0.9986467957496643,0.004036993719637394,0.9959043264389038,0.9835489988327026,1.0,0.9968818426132202,0.017864396795630455,0.9883254766464233,0.9833666086196899,0.9853333234786987,0.0005000000237487257
16,0.9982858896255493,0.004934309050440788,0.9958391785621643,0.9798819422721863,0.9993309378623962,0.9964838027954102,0.01628817245364189,0.9888123273849487,0.9763001799583435,0.9886666536331177,0.0005000000237487257
17,0.9985384941101074,0.0037410291843116283,0.9968872666358948,0.9826792478561401,0.9995539784431458,0.9966828227043152,0.016468990594148636,0.9909620881080627,0.9814077019691467,0.9853333234786987,0.0002500000118743628
18,0.9991339445114136,0.0023402096703648567,0.9983077645301819,0.9894086718559265,1.0,0.9964838027954102,0.01800777204334736,0.988730251789093,0.9820119738578796,0.9826666712760925,0.0002500000118743628
