split,cluster_id,severity_label,severity_name,count,acc_mag_peak_mean,acc_mag_peak_std,gyro_mag_peak_mean,gyro_mag_peak_std,acc_mag_rms_mean,acc_mag_rms_std,gyro_mag_rms_mean,gyro_mag_rms_std
train,0,0,Mild,1659,6.427383127522943,1.656535200224459,10.139005451334608,3.6858528564667514,2.3389901774988755,0.4664328709616247,3.0410170663617473,0.8463458203298627
train,1,2,Severe,1558,7.858682776446214,1.83537211708696,12.975687017183708,3.19088109435997,2.6344103431364996,0.492135844022963,3.7968126263024717,0.692223537141944
train,2,1,Moderate,1267,7.282822277758568,1.7221205261764059,12.314197375253137,2.738093395855497,2.5747180818664623,0.5122892367211828,3.720041176138097,0.7122160556006663
val,0,0,Mild,561,6.540962389233703,1.3711442785813654,10.31412419575846,3.0525345704366793,2.3336442358353557,0.49119743652635106,3.056057543890574,0.6853698530491718
val,1,2,Severe,518,7.462637079268348,1.5610438261806543,12.305848503665114,2.3604967507393497,2.6395587757747605,0.5230552755012126,3.7024853959046737,0.6161795253172571
val,2,1,Moderate,421,7.297591247921035,1.701133913207999,13.030123432005386,2.384374508779019,2.607083735443351,0.5083588012905905,3.979898549315482,0.6537842674854472
test,0,0,Mild,457,6.3414025724064595,1.5879036649880445,9.789764914523069,4.327557663830394,2.3986682722292008,0.4990249601815394,3.002622314955004,0.9523818307875812
test,1,2,Severe,439,6.942046070967828,1.2219552037423718,12.446276093398248,4.4479968427869645,2.5237276377601883,0.506402886754856,3.938094103526417,0.937652618125249
test,2,1,Moderate,304,6.765538996771762,1.5509400864757292,12.030989262618517,2.4817583464019752,2.53216129266902,0.4945867416491827,3.9176412365938487,0.7488995169447712
