split,severity_label,severity_name,fall_windows,anomalous_windows,anomaly_rate
train,0,Low,1697,43,0.025338833235120803
train,1,Medium,2787,47,0.01686401148188016
train,2,High,0,0,0.0
val,0,Low,563,5,0.008880994671403197
val,1,Medium,937,18,0.0192102454642476
val,2,High,0,0,0.0
test,0,Low,468,11,0.023504273504273504
test,1,Medium,732,13,0.017759562841530054
test,2,High,0,0,0.0
