split,severity_label,severity_name,fall_windows,anomalous_windows,anomaly_rate
train,0,Mild,1659,42,0.02531645569620253
train,1,Moderate,1267,10,0.007892659826361484
train,2,Severe,1558,38,0.024390243902439025
val,0,Mild,561,5,0.008912655971479501
val,1,Moderate,421,16,0.03800475059382423
val,2,Severe,518,2,0.003861003861003861
test,0,Mild,457,11,0.024070021881838075
test,1,Moderate,304,6,0.019736842105263157
test,2,Severe,439,7,0.015945330296127564
