model_threshold,precision,recall,F1,F2,recording_recall,impact_verified_recall,adl_false_trigger_count,source
CNN_baseline@0.50,0.9760923330585326,0.9866666666666667,0.9813510153336096,0.9845335107267587,0.9966666666666667,0.9966666666666667,0,reused
CNN_baseline@0.20,0.9682926829268292,0.9925,0.980246913580247,0.9875621890547264,1.0,1.0,0,reused
CNN_LSTM@0.50,0.9786535303776683,0.9933333333333333,0.9859387923904053,0.9903622465935527,1.0,1.0,1,reused
CNN_LSTM@0.25,0.9708265802269044,0.9983333333333333,0.9843878389482333,0.9927079880676168,1.0,1.0,3,reused
