k,mean_silhouette,std_silhouette,mean_davies_bouldin,std_davies_bouldin,mean_calinski_harabasz,std_calinski_harabasz,mean_cluster_size_min_pct,mean_cluster_size_max_pct
2,0.17738245927856272,9.337448437577524e-07,1.9901075474542502,0.00013798543353376027,999.813841705109,0.000195193366200313,0.3785459411239964,0.6214540588760036
3,0.158481896924038,0.0,2.1517854045901035,0.0,778.4105023389412,0.0,0.28256021409455845,0.3699821587867975
4,0.1643314552595873,1.9841283660504416e-06,2.0347462385067536,1.2773503152807563e-05,715.8563018103556,0.000215661290872049,0.18777876895628903,0.32488849241748435
5,0.16858611593451373,5.5911893388052935e-05,1.8706816951172307,0.0033151281942709414,657.654128376917,0.01414226581198845,0.11842105263157895,0.3019179304192685
