k,silhouette,davies_bouldin,calinski_harabasz,silhouette_std,davies_bouldin_std,calinski_harabasz_std,mean_inertia,min_cluster_pct,max_cluster_pct,cluster_size_range
2,0.17738245927856272,1.9901075474542502,999.813841705109,9.337448437577524e-07,0.00013798543353376027,0.000195193366200313,212638.14088904375,0.3785459411239964,0.6214540588760036,"[1697, 2787]"
3,0.158481896924038,2.1517854045901035,778.4105023389412,0.0,0.0,0.0,193013.80301142475,0.28256021409455845,0.3699821587867975,"[1267, 1659]"
4,0.1643314552595873,2.0347462385067536,715.8563018103556,1.9841283660504416e-06,1.2773503152807563e-05,0.000215661290872049,175799.38837681978,0.18777876895628903,0.32488849241748435,"[842, 1457]"
5,0.16858611593451373,1.8706816951172307,657.654128376917,5.5911893388052935e-05,0.0033151281942709414,0.01414226581198845,163843.22359168122,0.11842105263157895,0.3019179304192685,"[526, 1361]"
