cluster_id,train_count,val_count,test_count,total_count,acc_mag_mean,acc_mag_rms_mean,acc_mag_peak_mean,gyro_mag_mean,gyro_mag_rms_mean,gyro_mag_peak_mean,cluster_intensity_score,severity_label,severity_name
0,1697,563,468,2728,2.049957834732975,2.3373632367807904,6.39667250987847,1.9093424886570443,3.0443346754691145,10.15505721601375,16.55172972589222,0,Mild
1,2787,937,732,4456,2.245856279812708,2.6122922195856146,7.635105472163654,2.41897422759645,3.7701964875383105,12.703870253106109,20.338975725269762,1,Severe
