split,severity_class,anomaly_marking,window_count
test,Mild,Anomalous,11
test,Mild,Normal,446
test,Moderate,Anomalous,6
test,Moderate,Normal,298
test,Severe,Anomalous,7
test,Severe,Normal,432
train,Mild,Anomalous,42
train,Mild,Normal,1617
train,Moderate,Anomalous,10
train,Moderate,Normal,1257
train,Severe,Anomalous,38
train,Severe,Normal,1520
val,Mild,Anomalous,5
val,Mild,Normal,556
val,Moderate,Anomalous,16
val,Moderate,Normal,405
val,Severe,Anomalous,2
val,Severe,Normal,516
