split,severity_label,severity_name,fall_windows,anomalous_windows,anomaly_rate
train,0,Mild,1697,43,0.0253388332351208
train,1,Severe,2787,47,0.0168640114818801
val,0,Mild,563,5,0.0088809946714031
val,1,Severe,937,18,0.0192102454642476
test,0,Mild,468,11,0.0235042735042735
test,1,Severe,732,13,0.01775956284153
