split,cluster_id,severity_label,severity_name,count,acc_mag_peak_mean,acc_mag_peak_std,gyro_mag_peak_mean,gyro_mag_peak_std,acc_mag_rms_mean,acc_mag_rms_std,gyro_mag_rms_mean,gyro_mag_rms_std
train,0,0,Mild,1697,6.39667250987847,1.6526545908431631,10.15505721601375,3.654883141096617,2.3373632367807904,0.4701044113190675,3.0443346754691145,0.839820456971052
train,1,1,Severe,2787,7.635105472163654,1.794574786453031,12.703870253106109,3.020583462270226,2.6122922195856146,0.4989951587484797,3.7701964875383105,0.7018788103834601
val,0,0,Mild,563,6.522701692835264,1.3562451827576167,10.281855666192769,3.0108050053340856,2.3286250266469817,0.48967199874445494,3.0542531688937498,0.6819565000321454
val,1,1,Severe,937,7.401420245175682,1.6291248271461642,12.654909736954924,2.4071573332406686,2.6286363124592964,0.5157893656157441,3.8295928200382816,0.6479757166940118
test,0,0,Mild,468,6.329272236579504,1.5748232256556374,9.839216145694765,4.2792332125611034,2.393669225466557,0.5032498725547623,3.024878238892963,0.9550647773910693
test,1,1,Severe,732,6.885524110715897,1.3703787363395348,12.282111134685454,3.8095688734830766,2.5323055585225425,0.49783679868176917,3.9294284556081385,0.8697977163164627
