epoch,accuracy,loss,pr_auc,precision,recall,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,learning_rate
1,0.9677931666374207,0.09824911504983902,0.939387321472168,0.7257066369056702,0.9676628112792969,0.9931002259254456,0.02175469510257244,0.9961825013160706,0.9462915658950806,0.9866666793823242,0.0010000000474974513
2,0.9879111647605896,0.037593405693769455,0.9810401201248169,0.8770264983177185,0.989295244216919,0.9941617250442505,0.014951040036976337,0.9965552687644958,0.9626474380493164,0.9793333411216736,0.0010000000474974513
3,0.9912852048873901,0.025682710111141205,0.9866040945053101,0.9076828956604004,0.9933095574378967,0.9940290451049805,0.015284845605492592,0.9964351654052734,0.9554263353347778,0.9860000014305115,0.0010000000474974513
4,0.9936488270759583,0.018630079925060272,0.9898388981819153,0.929700493812561,0.9968777894973755,0.9954223036766052,0.014760313555598259,0.9940837025642395,0.968565821647644,0.9860000014305115,0.0010000000474974513
5,0.9937751293182373,0.01723966747522354,0.9910861253738403,0.9314154386520386,0.9964317679405212,0.9946925044059753,0.016350315883755684,0.9940148591995239,0.9634464979171753,0.984000027179718,0.0010000000474974513
6,0.9941901564598083,0.016047615557909012,0.9907053709030151,0.9357202649116516,0.996654748916626,0.9919723868370056,0.023115124553442,0.9921032786369324,0.9306683540344238,0.9933333396911621,0.0010000000474974513
7,0.9951283931732178,0.013581452891230583,0.9913422465324402,0.9452662467956543,0.9975468516349792,0.9873283505439758,0.03978177532553673,0.983122706413269,0.8930931091308594,0.9913333058357239,0.0010000000474974513
8,0.9945690631866455,0.014356471598148346,0.9915081858634949,0.9392984509468079,0.9973238110542297,0.9946925044059753,0.016290633007884026,0.9926478862762451,0.9658792614936829,0.981333315372467,0.0010000000474974513
9,0.9966440200805664,0.00910219643265009,0.9939936995506287,0.961158812046051,0.998884916305542,0.9961520433425903,0.011574162170290947,0.9954819083213806,0.9706266522407532,0.9913333058357239,0.0005000000237487257
10,0.9977806806564331,0.0058621508069336414,0.9955826997756958,0.9737128019332886,0.9995539784431458,0.9959530234336853,0.013971211388707161,0.9937787055969238,0.9711853265762329,0.9886666536331177,0.0005000000237487257
11,0.9980332851409912,0.005465959198772907,0.9954891204833984,0.9766833782196045,0.9995539784431458,0.9961520433425903,0.014278160408139229,0.9935173988342285,0.9737187623977661,0.9879999756813049,0.0005000000237487257
12,0.9982678890228271,0.004715225659310818,0.995573103427887,0.979248583316803,0.9997769594192505,0.9963510632514954,0.015426568686962128,0.9910127520561218,0.9762689471244812,0.987333357334137,0.0005000000237487257
13,0.9975461363792419,0.00673716003075242,0.9952346086502075,0.9709705114364624,0.9995539784431458,0.9963510632514954,0.01541589293628931,0.9910927414894104,0.9819880127906799,0.981333315372467,0.0005000000237487257
14,0.9987730979919434,0.0033820101525634527,0.9982543587684631,0.9854881167411804,0.9995539784431458,0.9962847232818604,0.014843029901385307,0.9922990798950195,0.9787798523902893,0.984000027179718,0.0002500000118743628
15,0.9989354610443115,0.0027701661456376314,0.9985289573669434,0.9872274994850159,0.9997769594192505,0.9965501427650452,0.015118950977921486,0.9913301467895508,0.9801061153411865,0.9853333234786987,0.0002500000118743628
16,0.9992241263389587,0.002063248073682189,0.998581051826477,0.9907182455062866,0.9997769594192505,0.9958203434944153,0.019518541172146797,0.9877026677131653,0.9736321568489075,0.984666645526886,0.0002500000118743628
17,0.9991520047187805,0.002072844887152314,0.998813807964325,0.9898432493209839,0.9997769594192505,0.9967491626739502,0.016246799379587173,0.9891932010650635,0.9820597767829895,0.9853333234786987,0.0002500000118743628
18,0.9995308518409729,0.0011658775620162487,0.9993022084236145,0.9942350387573242,1.0,0.9970808625221252,0.017107440158724785,0.9876073598861694,0.9879356622695923,0.9826666712760925,0.0001250000059371814
19,0.9996752142906189,0.0009530821698717773,0.999531626701355,0.9960017800331116,1.0,0.9972135424613953,0.016991278156638145,0.9886056184768677,0.9879518151283264,0.984000027179718,0.0001250000059371814
