model,threshold,parameters,window_precision,window_recall,window_f1,window_f2,recording_recall,impact_recall,training_time_seconds,epochs
CNN,0.5,33729,0.9760923330585326,0.9866666666666667,0.9813510153336096,0.9845335107267587,0.9966666666666667,0.9966666666666667,,8
CNN-LSTM,0.5,46817,0.9770303527481542,0.9925,0.9847044233154196,0.989367004485795,1.0,1.0,466.1173703999957,14
CNN,chosen,33729,0.9682926829268292,0.9925,0.980246913580247,0.9875621890547264,1.0,1.0,,8
CNN-LSTM,chosen,46817,0.9605792437650845,0.995,0.9774866966844045,0.9879199073307959,1.0,1.0,466.1173703999957,14
